0,1,2,3,4,5,6,7,8,9,10,11
0.20104895104895104,3.0,0.0,1.0,6.0,0.0,0.0,3.0,27.0,5,0,6144
0.46153846153846156,3.0,3.0,1.0,6.0,0.0,1.0,3.0,12.0,6,0,4778
0.05944055944055944,2.0,0.0,2.0,6.0,0.0,0.0,1.0,3.0,4,0,3898
0.05419580419580419,3.0,3.0,0.0,6.0,0.0,0.0,1.0,9.0,5,0,5224
0.19055944055944055,8.0,2.0,0.0,6.0,1.0,0.0,1.0,12.0,6,0,6356
0.0944055944055944,3.0,3.0,0.0,6.0,1.0,0.0,1.0,24.0,3,1,9806
0.40384615384615385,8.0,3.0,0.0,4.0,1.0,1.0,3.0,6.0,5,0,4649
0.5402097902097902,1.0,2.0,1.0,6.0,1.0,0.0,2.0,9.0,3,1,9719
0.05419580419580419,3.0,3.0,0.0,6.0,0.0,3.0,3.0,3.0,6,0,4804
0.1993006993006993,4.0,0.0,5.0,6.0,1.0,0.0,1.0,18.0,3,0,12284
0.36538461538461536,1.0,3.0,0.0,6.0,2.0,0.0,3.0,6.0,5,0,11883
0.32342657342657344,1.0,2.0,1.0,6.0,1.0,3.0,2.0,24.0,6,0,8669
0.10314685314685315,8.0,2.0,1.0,6.0,1.0,2.0,3.0,6.0,4,1,4957
0.19055944055944055,6.0,2.0,1.0,6.0,1.0,0.0,1.0,27.0,3,0,6076
0.05244755244755245,8.0,3.0,0.0,5.0,0.0,1.0,2.0,27.0,4,1,3841
0.5227272727272727,6.0,2.0,0.0,6.0,1.0,0.0,2.0,21.0,5,0,11200
0.11363636363636363,6.0,2.0,1.0,6.0,2.0,3.0,3.0,9.0,6,1,15965
0.06118881118881119,3.0,0.0,2.0,6.0,0.0,2.0,3.0,18.0,5,1,4823
0.46153846153846156,3.0,0.0,1.0,4.0,0.0,1.0,1.0,9.0,6,0,4591
0.4230769230769231,4.0,2.0,1.0,4.0,1.0,3.0,2.0,21.0,5,0,12898
0.05419580419580419,3.0,3.0,0.0,6.0,0.0,3.0,0.0,9.0,5,0,4804
0.055944055944055944,3.0,3.0,0.0,6.0,0.0,3.0,3.0,9.0,3,1,4148
0.27972027972027974,3.0,2.0,0.0,6.0,1.0,3.0,1.0,12.0,6,0,6442
0.16083916083916083,4.0,2.0,1.0,6.0,2.0,3.0,2.0,15.0,6,1,11150
0.3094405594405594,4.0,2.0,5.0,6.0,1.0,0.0,1.0,12.0,3,0,10262
0.24825174825174826,0.0,3.0,0.0,6.0,1.0,0.0,2.0,18.0,5,1,5192
0.026223776223776224,6.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,5,0,6916
0.4090909090909091,9.0,3.0,0.0,6.0,1.0,1.0,0.0,12.0,6,0,9187
0.05944055944055944,1.0,2.0,1.0,6.0,0.0,0.0,0.0,6.0,4,1,4729
0.04895104895104895,3.0,1.0,4.0,6.0,0.0,1.0,2.0,15.0,6,1,3597
0.18181818181818182,4.0,2.0,1.0,6.0,1.0,2.0,3.0,27.0,3,0,12242
0.2062937062937063,4.0,3.0,0.0,4.0,1.0,0.0,1.0,15.0,5,0,10844
0.05244755244755245,3.0,2.0,0.0,6.0,1.0,2.0,1.0,9.0,3,1,5054
0.1590909090909091,4.0,0.0,1.0,6.0,1.0,0.0,0.0,9.0,5,0,17261
0.3041958041958042,4.0,3.0,0.0,6.0,1.0,3.0,3.0,9.0,5,0,12681
0.057692307692307696,4.0,3.0,2.0,6.0,1.0,3.0,1.0,27.0,5,0,13067
0.1660839160839161,1.0,4.0,0.0,4.0,0.0,0.0,1.0,12.0,6,0,3100
0.11013986013986014,4.0,3.0,0.0,6.0,1.0,3.0,2.0,12.0,6,0,14231
0.055944055944055944,9.0,0.0,2.0,6.0,0.0,0.0,0.0,12.0,6,0,4668
0.5,1.0,2.0,0.0,6.0,2.0,0.0,0.0,12.0,5,1,13538
0.14685314685314685,6.0,2.0,1.0,6.0,1.0,1.0,3.0,21.0,5,0,14067
0.5332167832167832,4.0,2.0,1.0,6.0,2.0,2.0,2.0,24.0,6,0,13922
0.32342657342657344,4.0,2.0,1.0,4.0,1.0,1.0,3.0,6.0,3,0,13843
0.5804195804195804,8.0,3.0,0.0,4.0,0.0,2.0,0.0,12.0,6,0,3841
0.32867132867132864,3.0,2.0,1.0,6.0,1.0,0.0,3.0,1.0,6,1,6442
0.057692307692307696,1.0,0.0,5.0,6.0,0.0,3.0,3.0,3.0,3,1,7591
0.05419580419580419,3.0,3.0,0.0,6.0,0.0,3.0,0.0,15.0,6,1,4804
0.3531468531468531,4.0,3.0,0.0,4.0,1.0,1.0,0.0,12.0,6,0,8529
0.28321678321678323,4.0,2.0,1.0,6.0,1.0,0.0,2.0,21.0,5,0,16289
0.027972027972027972,1.0,4.0,3.0,6.0,0.0,0.0,0.0,1.0,5,0,3625
0.513986013986014,1.0,2.0,1.0,6.0,2.0,2.0,2.0,24.0,6,0,11732
0.6206293706293706,4.0,2.0,1.0,4.0,2.0,1.0,2.0,27.0,6,0,11150
0.10839160839160839,1.0,3.0,1.0,6.0,1.0,0.0,0.0,9.0,3,1,7893
0.09615384615384616,6.0,2.0,1.0,6.0,1.0,0.0,3.0,12.0,6,0,6093
0.027972027972027972,4.0,0.0,3.0,6.0,1.0,0.0,2.0,21.0,3,0,16736
0.05944055944055944,0.0,0.0,5.0,6.0,0.0,1.0,0.0,1.0,3,0,3383
0.06293706293706294,3.0,0.0,2.0,6.0,0.0,3.0,3.0,6.0,5,0,3943
0.28321678321678323,3.0,0.0,1.0,6.0,0.0,0.0,3.0,27.0,5,0,3943
0.4388111888111888,1.0,2.0,1.0,6.0,1.0,1.0,0.0,18.0,5,1,7480
0.5524475524475524,6.0,2.0,5.0,6.0,1.0,0.0,2.0,3.0,3,1,9526
0.1520979020979021,8.0,3.0,0.0,6.0,1.0,0.0,2.0,24.0,5,0,9630
0.44405594405594406,4.0,2.0,1.0,6.0,1.0,3.0,2.0,21.0,5,0,16079
0.03146853146853147,1.0,2.0,3.0,6.0,1.0,3.0,3.0,18.0,3,0,8907
0.4423076923076923,6.0,2.0,5.0,6.0,1.0,0.0,3.0,21.0,3,0,15288
0.05944055944055944,3.0,0.0,5.0,6.0,0.0,1.0,2.0,3.0,3,1,8855
0.03146853146853147,4.0,4.0,3.0,6.0,1.0,1.0,2.0,24.0,3,1,5678
0.7587412587412588,1.0,2.0,1.0,6.0,2.0,0.0,2.0,6.0,3,0,11552
0.3006993006993007,4.0,3.0,5.0,6.0,1.0,0.0,3.0,12.0,3,0,10844
0.1486013986013986,0.0,3.0,1.0,4.0,0.0,0.0,3.0,21.0,5,0,4409
0.1993006993006993,6.0,2.0,1.0,6.0,1.0,1.0,3.0,1.0,6,1,13377
0.27972027972027974,0.0,2.0,1.0,6.0,1.0,1.0,0.0,27.0,3,0,6451
0.263986013986014,8.0,2.0,1.0,6.0,1.0,1.0,1.0,27.0,3,0,4098
0.21678321678321677,3.0,3.0,1.0,4.0,0.0,3.0,2.0,6.0,4,1,4804
0.15734265734265734,4.0,3.0,0.0,6.0,1.0,3.0,0.0,21.0,5,0,13731
0.3513986013986014,4.0,3.0,0.0,6.0,1.0,2.0,0.0,12.0,6,0,12692
0.18181818181818182,4.0,3.0,0.0,4.0,1.0,3.0,2.0,1.0,5,0,14781
0.1958041958041958,4.0,2.0,1.0,4.0,2.0,0.0,2.0,9.0,6,1,10368
0.3583916083916084,4.0,2.0,1.0,4.0,2.0,2.0,1.0,15.0,6,1,10368
0.18356643356643357,6.0,2.0,1.0,6.0,1.0,3.0,1.0,15.0,5,0,8018
0.1888111888111888,6.0,2.0,1.0,4.0,1.0,0.0,1.0,24.0,4,0,6093
0.5576923076923077,4.0,2.0,0.0,4.0,1.0,3.0,3.0,6.0,6,0,14924
